"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1285",1285,0,0,3.08854275941849,76136.3301953081,0,0,0,0
"1286",1286,0,0,3.2129018008709,76136.3302263826,0,0,0,0
"1287",1287,0,0,3.0633405148983,76136.3303004248,0,0,0,0
"1288",1288,0,0,3.44682756066322,76136.3303360371,0,0,0,0
"1289",1289,0,0,3.07364872843027,76136.3303951403,0,0,0,0
"1290",1290,0,0,3.56060767173767,76136.3304295375,0,0,0,0
"1291",1291,0,0,3.27692124247551,76136.3304681757,0,0,0,0
"1292",1292,0,0,3.19418367743492,76136.3305412005,0,0,0,0
"1293",1293,0,0,3.68613761663437,76136.3305492136,0,0,0,0
"1294",1294,0,0,3.61662197113037,76136.3305580652,0,0,0,0
"1295",1295,0,0,3.07669886946678,76136.3305706128,0,0,0,0
"1296",1296,0,0,4.30158579349518,76136.3306369727,0,0,0,0
"1297",1297,0,0,3.35481390357018,76136.3306468089,0,0,0,0
"1298",1298,0,0,3.01674425788224,76136.3306505058,0,0,0,0
"1299",1299,0,0,3.26570045948029,76136.3307202703,0,0,0,0
"1300",1300,0,0,3.74422138929367,76136.3307904295,0,0,0,0
"1301",1301,0,0,3.12214611470699,76136.3308183974,0,0,0,0
"1302",1302,0,0,3.58339613676071,76136.3310162893,0,0,0,0
"1303",1303,0,0,3.0985871553421,76136.331142618,0,0,0,0
"1304",1304,0,0,3.22802448272705,76136.3311774135,0,0,0,0
"1305",1305,0,0,3.69467240571976,76136.3312135415,0,0,0,0
"1306",1306,0,0,3.55787706375122,76136.3312246461,0,0,0,0
"1307",1307,0,0,3.92393231391907,76136.3312517079,0,0,0,0
"1308",1308,0,0,3.65120822191238,76136.3312594146,0,0,0,0
"1309",1309,0,0,3.26016497612,76136.3313583514,0,0,0,0
"1310",1310,0,0,3.08533032983541,76136.3313600492,0,0,0,0
"1311",1311,0,0,3.02852159552276,76136.3314068811,0,0,0,0
"1312",1312,0,0,3.97620522975922,76136.3314183428,0,0,0,0
"1313",1313,0,0,3.5945457816124,76136.3314262615,0,0,0,0
"1314",1314,0,0,3.66504764556885,76136.3314362266,0,0,0,0
"1315",1315,0,0,3.03797793760896,76136.3314375288,0,0,0,0
"1316",1316,0,0,3.61062622070312,76136.3314800141,0,0,0,0
"1317",1317,0,0,3.61479252576828,76136.3316286186,0,0,0,0
"1318",1318,0,0,3.32372653484344,76136.3316759333,0,0,0,0
"1319",1319,0,0,3.46843212842941,76136.3316869679,0,0,0,0
"1320",1320,0,0,3.49697715044022,76136.3317035241,0,0,0,0
"1321",1321,0,0,4.12334680557251,76136.3317167812,0,0,0,0
"1322",1322,0,0,3.18463878333569,76136.3317412864,0,0,0,0
"1323",1323,0,0,3.02602619864047,76136.3319328072,0,0,0,0
"1324",1324,0,0,4.26406073570251,76136.3319858794,0,0,0,0
"1325",1325,0,0,3.51335495710373,76136.3320951911,0,0,0,0
"1326",1326,0,0,3.01802967116237,76136.332119404,0,0,0,0
"1327",1327,0,0,3.04024677351117,76136.3321315421,0,0,0,0
"1328",1328,0,0,3.01752505265176,76136.3322399498,0,0,0,0
"1329",1329,0,0,3.16628308594227,76136.3323422028,0,0,0,0
"1330",1330,0,0,3.14653359353542,76136.3323622701,0,0,0,0
"1331",1331,0,0,3.29829892516136,76136.3323637652,0,0,0,0
"1332",1332,0,0,3.2673633992672,76136.3323991256,0,0,0,0
"1333",1333,0,0,3.39820751547813,76136.3324708117,0,0,0,0
"1334",1334,0,0,3.07272146642208,76136.3324766847,0,0,0,0
"1335",1335,0,0,3.38213285803795,76136.3325098151,0,0,0,0
"1336",1336,0,0,3.55317831039429,76136.3325355313,0,0,0,0
"1337",1337,0,0,3.03239100798965,76136.3325667242,0,0,0,0
"1338",1338,0,0,3.41271963715553,76136.332610018,0,0,0,0
"1339",1339,0,0,3.81687438488007,76136.3327022493,0,0,0,0
"1340",1340,0,0,4.22579479217529,76136.3327026753,0,0,0,0
"1341",1341,0,0,3.57135897874832,76136.3327104952,0,0,0,0
"1342",1342,0,0,3.13030382990837,76136.3327519906,0,0,0,0
